Navn;Stasjon;Tid(norsk normaltid);Middeltemperatur (døgn);Maksimumstemperatur (døgn);Minimumstemperatur (døgn)
Hamar Ii;SN12290;26.11.2019;0,8;1,6;0,5
Hamar Ii;SN12290;27.11.2019;0,9;1,5;0,2
Hamar Ii;SN12290;28.11.2019;-0,1;0,8;-0,5
Hamar Ii;SN12290;29.11.2019;-3,9;0,7;-7,6
Hamar Ii;SN12290;30.11.2019;-9,5;-4,5;-12
Hamar Ii;SN12290;01.12.2019;-10,3;-7,2;-13,9
Hamar Ii;SN12290;02.12.2019;-10,4;-8,2;-12,6
Hamar Ii;SN12290;03.12.2019;-5,9;-3,6;-12,1
Hamar Ii;SN12290;04.12.2019;-4,6;-3;-7,4
Hamar Ii;SN12290;05.12.2019;2,8;6,1;-6,6
Hamar Ii;SN12290;06.12.2019;-0,3;5,7;-3,9
Hamar Ii;SN12290;07.12.2019;-3,7;0,7;-7
Hamar Ii;SN12290;08.12.2019;-5,3;-1,5;-11,2
Hamar Ii;SN12290;09.12.2019;-3;1;-7,5
Hamar Ii;SN12290;10.12.2019;-7,8;-1,2;-15,2
Hamar Ii;SN12290;11.12.2019;2,2;3,9;-2,3
Hamar Ii;SN12290;12.12.2019;3,1;4;2,1
Hamar Ii;SN12290;13.12.2019;1,2;3;-0,7
Hamar Ii;SN12290;14.12.2019;1,4;1,7;1,1
Hamar Ii;SN12290;15.12.2019;1,1;1,6;1
Hamar Ii;SN12290;16.12.2019;-0,7;1,1;-1,5
Hamar Ii;SN12290;17.12.2019;-5,9;-1,5;-7
Hamar Ii;SN12290;18.12.2019;-9,6;-6,2;-11,5
Hamar Ii;SN12290;19.12.2019;-9,8;-8,2;-12,8
Hamar Ii;SN12290;20.12.2019;-1,6;-0,2;-8,2
Hamar Ii;SN12290;21.12.2019;1,6;2,4;-0,2
Hamar Ii;SN12290;22.12.2019;-0,7;1,7;-4
Hamar Ii;SN12290;23.12.2019;-3,2;-2,7;-4,9
Hamar Ii;SN12290;24.12.2019;-2,6;-2;-3,3
Hamar Ii;SN12290;25.12.2019;-4;-1,9;-6,3
Hamar Ii;SN12290;26.12.2019;-7;-4,2;-9,8
Hamar Ii;SN12290;27.12.2019;-5,4;-4,3;-7,8
Hamar Ii;SN12290;28.12.2019;-3;-1,7;-6,2
Hamar Ii;SN12290;29.12.2019;2;7,5;-1,7
Hamar Ii;SN12290;30.12.2019;4,1;8,2;-0,8
Hamar Ii;SN12290;31.12.2019;-0,1;6,6;-5,8
Hamar Ii;SN12290;01.01.2020;-0,4;6,2;-5,3
Hamar Ii;SN12290;02.01.2020;1,4;5,4;-3,2
Hamar Ii;SN12290;03.01.2020;3,6;6,7;0,2
Hamar Ii;SN12290;04.01.2020;0,2;2,8;-1,8
Hamar Ii;SN12290;05.01.2020;-4,4;1;-6,8
Hamar Ii;SN12290;06.01.2020;-1,1;0,9;-6,7
Hamar Ii;SN12290;07.01.2020;1,7;4,5;-3,6
Hamar Ii;SN12290;08.01.2020;5,3;8,7;3,7
Hamar Ii;SN12290;09.01.2020;-1,3;4,7;-3,2
Hamar Ii;SN12290;10.01.2020;-8,7;-2,3;-10,4
Hamar Ii;SN12290;11.01.2020;0,2;6,1;-12,5
Hamar Ii;SN12290;12.01.2020;0,2;7,9;-3,8
Hamar Ii;SN12290;13.01.2020;-3,1;1,2;-5,8
Hamar Ii;SN12290;14.01.2020;3,2;5,4;-5,4
Hamar Ii;SN12290;15.01.2020;2,2;5,3;0,7
Hamar Ii;SN12290;16.01.2020;4;6,4;-0,5
Hamar Ii;SN12290;17.01.2020;3,9;5,7;0,2
Hamar Ii;SN12290;18.01.2020;1,3;4,1;0,6
Hamar Ii;SN12290;19.01.2020;-2,3;2,2;-4,7
Hamar Ii;SN12290;20.01.2020;1,8;5;-3,2
Hamar Ii;SN12290;21.01.2020;6,1;10,5;2,2
Hamar Ii;SN12290;22.01.2020;1,7;5,8;-1,9
Hamar Ii;SN12290;23.01.2020;0,4;5,7;-3,2
Hamar Ii;SN12290;24.01.2020;3,9;7,7;-1,4
Hamar Ii;SN12290;25.01.2020;-2,6;4,6;-5,4
Hamar Ii;SN12290;26.01.2020;-0,3;1,2;-2,4
Hamar Ii;SN12290;27.01.2020;3,3;4,6;-1,2
Hamar Ii;SN12290;28.01.2020;1,8;2,8;0,7
Hamar Ii;SN12290;29.01.2020;1,5;2,8;1,3
Hamar Ii;SN12290;30.01.2020;-0,1;1,3;-0,8
Hamar Ii;SN12290;31.01.2020;-0,3;1,7;-1,3
Hamar Ii;SN12290;01.02.2020;2,4;4,8;-1,7
Hamar Ii;SN12290;02.02.2020;0,7;4,8;-4,5
Hamar Ii;SN12290;03.02.2020;-3,7;1,9;-6
Hamar Ii;SN12290;04.02.2020;-3,6;1,2;-5,3
Hamar Ii;SN12290;05.02.2020;-5,7;-0,1;-10,9
Hamar Ii;SN12290;06.02.2020;-1,8;4,3;-5,5
Hamar Ii;SN12290;07.02.2020;-2,5;-0,4;-6,4
Hamar Ii;SN12290;08.02.2020;1,5;3,2;-0,7
Hamar Ii;SN12290;09.02.2020;3,3;4,1;1,8
Hamar Ii;SN12290;10.02.2020;4,5;6,4;1,8
Hamar Ii;SN12290;11.02.2020;0,2;4,7;-1,7
Hamar Ii;SN12290;12.02.2020;0,2;4,3;-2,4
Hamar Ii;SN12290;13.02.2020;-3,7;4,9;-7,6
Hamar Ii;SN12290;14.02.2020;-5,5;-2;-10,8
Hamar Ii;SN12290;15.02.2020;3,7;7,3;-4
Hamar Ii;SN12290;16.02.2020;5,3;8,3;3,4
Hamar Ii;SN12290;17.02.2020;5;8,6;0,6
Hamar Ii;SN12290;18.02.2020;4,4;7,7;-0,1
Hamar Ii;SN12290;19.02.2020;-0,6;5,9;-4,7
