Navn;Stasjon;Tid(norsk normaltid);Maksimumstemperatur (døgn);Middeltemperatur (døgn);Minimumstemperatur (døgn)
Drammen - Berskog;SN26900;26.11.2019;1,7;1,1;0,4
Drammen - Berskog;SN26900;27.11.2019;1,6;1,1;0,4
Drammen - Berskog;SN26900;28.11.2019;1,4;0,9;0,5
Drammen - Berskog;SN26900;29.11.2019;1,8;-1,3;-3,4
Drammen - Berskog;SN26900;30.11.2019;-0,5;-5,6;-7,1
Drammen - Berskog;SN26900;01.12.2019;-2,1;-5,4;-9,2
Drammen - Berskog;SN26900;02.12.2019;-1,8;-7,8;-9,1
Drammen - Berskog;SN26900;03.12.2019;-0,4;-2,5;-8,7
Drammen - Berskog;SN26900;04.12.2019;8,8;-0,7;-2,2
Drammen - Berskog;SN26900;05.12.2019;7,7;3,9;-2,4
Drammen - Berskog;SN26900;06.12.2019;7,8;0,9;-0,7
Drammen - Berskog;SN26900;07.12.2019;4,7;1,2;-0,4
Drammen - Berskog;SN26900;08.12.2019;1,9;-1,5;-2,7
Drammen - Berskog;SN26900;09.12.2019;3,2;-0,3;-4,7
Drammen - Berskog;SN26900;10.12.2019;2;-4,2;-10,5
Drammen - Berskog;SN26900;11.12.2019;8,4;4;0,5
Drammen - Berskog;SN26900;12.12.2019;4,9;2,9;0,1
Drammen - Berskog;SN26900;13.12.2019;2,9;1,8;-1,4
Drammen - Berskog;SN26900;14.12.2019;3;1,6;0,6
Drammen - Berskog;SN26900;15.12.2019;2,4;1;0,8
Drammen - Berskog;SN26900;16.12.2019;1,4;-2,1;-2,9
Drammen - Berskog;SN26900;17.12.2019;-2,9;-5,6;-6,5
Drammen - Berskog;SN26900;18.12.2019;-5,3;-6,7;-7,5
Drammen - Berskog;SN26900;19.12.2019;-3,5;-6,2;-9,3
Drammen - Berskog;SN26900;20.12.2019;0,2;-0,7;-4
Drammen - Berskog;SN26900;21.12.2019;1,6;1,1;0,2
Drammen - Berskog;SN26900;22.12.2019;1,6;1,2;0,9
Drammen - Berskog;SN26900;23.12.2019;1,3;0,8;0,5
Drammen - Berskog;SN26900;24.12.2019;1,1;0,5;0,2
Drammen - Berskog;SN26900;25.12.2019;0,9;-2,3;-3,9
Drammen - Berskog;SN26900;26.12.2019;-3,5;-5,5;-7
Drammen - Berskog;SN26900;27.12.2019;-4,3;-5,4;-6,9
Drammen - Berskog;SN26900;28.12.2019;1,3;-1,1;-4,5
Drammen - Berskog;SN26900;29.12.2019;6,3;2,3;0,6
Drammen - Berskog;SN26900;30.12.2019;8,8;3,9;0,1
Drammen - Berskog;SN26900;31.12.2019;7,7;3,3;-1,3
Drammen - Berskog;SN26900;01.01.2020;3,2;-1,7;-3
Drammen - Berskog;SN26900;02.01.2020;5,3;1,3;-3,8
Drammen - Berskog;SN26900;03.01.2020;8,5;4,8;1,2
Drammen - Berskog;SN26900;04.01.2020;4,4;2,3;-0,5
Drammen - Berskog;SN26900;05.01.2020;2,7;-0,6;-2,3
Drammen - Berskog;SN26900;06.01.2020;2,1;1,1;-1,9
Drammen - Berskog;SN26900;07.01.2020;7;3,1;-1,9
Drammen - Berskog;SN26900;08.01.2020;10,1;6,5;3,2
Drammen - Berskog;SN26900;09.01.2020;6,8;1;-1,3
Drammen - Berskog;SN26900;10.01.2020;0,7;-2,8;-4,6
Drammen - Berskog;SN26900;11.01.2020;7,9;2,4;-7,3
Drammen - Berskog;SN26900;12.01.2020;6,3;2,2;-1
Drammen - Berskog;SN26900;13.01.2020;2,1;-2;-4,5
Drammen - Berskog;SN26900;14.01.2020;7,7;5;-1,7
Drammen - Berskog;SN26900;15.01.2020;5,1;2,5;0,5
Drammen - Berskog;SN26900;16.01.2020;8,4;4,4;0,1
Drammen - Berskog;SN26900;17.01.2020;7,3;5,7;1,3
Drammen - Berskog;SN26900;18.01.2020;5,3;2,7;2,2
Drammen - Berskog;SN26900;19.01.2020;5,2;2,4;-0,7
Drammen - Berskog;SN26900;20.01.2020;5,9;2,7;-0,6
Drammen - Berskog;SN26900;21.01.2020;11,4;7,1;1
